mojoTitle, rtTitle, year, found, rtID
"Magnolia",Magnolia,1999,True,13046
"EDtv",EdTV,1999,True,11457
"At First Sight",At First Sight,1999,True,11460
"The Bachelor",The Bachelor,1999,True,12070
"Stir of Echoes",Stir of Echoes,1999,True,14386
"Doug's First Movie",Doug's First Movie,1999,True,299820589
"Summer of Sam",Summer of Sam,1999,True,13962
"Anywhere But Here",Anywhere But Here,1999,True,12635
"An Ideal Husband",An Ideal Husband,1999,True,10381
"Galapagos (IMAX)",Galapagos: The Enchanted Voyage,1999,True,19159
"Drive Me Crazy",Drive Me Crazy,1999,True,11140
"The Rage: Carrie 2",The Rage: Carrie 2,1999,True,14152
"Go",,1999,False,
"Bringing Out the Dead",Bringing Out the Dead,1999,True,16493
"True Crime",True Crime,1999,True,14454
"Muppets from Space",Muppets From Space,1999,True,9526
"A Midsummer Night's Dream",A Midsummer Night's Dream,1999,True,10418
"The Corruptor",The Corruptor,1999,True,14666
"Election",Election,1999,True,16574
"Music of the Heart",Music of the Heart,1999,True,10485
"Snow Falling on Cedars",Snow Falling on Cedars,1999,True,11251
"Tea with Mussolini",Tea With Mussolini,1999,True,10842
"The Messenger: The Story of Joan of Arc",The Messenger: The Story of Joan of Arc,1999,True,13532
"Virus",Virus,1999,True,14638
"In Too Deep",In Too Deep,1999,True,13876
"The Deep End of the Ocean",The Deep End of the Ocean,1999,True,11773
"The Mod Squad",The Mod Squad,1999,True,15174
"Angela's Ashes",Angela's Ashes,1999,True,14147
"The Omega Code",The Omega Code,1999,True,11263
"Black Mask",Lady Black Mask,1999,True,770933516
"Extreme (IMAX)",Extreme,1999,True,380552531
"In Dreams",In Dreams,1999,True,16150
"The King and I (1999)",The King and I,1999,True,9723
"The Thirteenth Floor",The Thirteenth Floor,1999,True,13619
"The Adventures of Elmo in Grouchland",The Adventures of Elmo in Grouchland,1999,True,9523
"The Muse",The Muse,1999,True,12121
"Wing Commander",Wing Commander,1999,True,11724
"Boys Don't Cry",Boys Don't Cry,1999,True,13339
"Chill Factor",Chill Factor,1999,True,15886
"Cookie's Fortune",Cookie's Fortune,1999,True,11983
"The End of the Affair",The End of the Affair,1999,True,13564
"Office Space",Office Space,1999,True,13020
"The Astronaut's Wife",The Astronaut's Wife,1999,True,14234
"Universal Soldier: The Return",Universal Soldier - The Return,1999,True,15099
"Island of the Sharks (IMAX)",Island of the Sharks,1999,True,19643
"Drop Dead Gorgeous",Drop Dead Gorgeous,1999,True,10749
"Three to Tango",Three to Tango,1999,True,11714
"Bats",Bats,1999,True,12256
"Brokedown Palace",Brokedown Palace,1999,True,11205
"Dudley Do-Right",Dudley Do-Right,1999,True,11893
"Trippin'",Trippin,1999,True,15561
"Alien Adventure (IMAX)",Alien Adventure,1999,True,21098
"Teaching Mrs. Tingle",Teaching Mrs. Tingle,1999,True,12811
"Mystery  Alaska",Mystery  Alaska,1999,True,12982
"Play It to the Bone",,1999,False,
"Pushing Tin",Pushing Tin,1999,True,13817
"Twin Dragons",,1999,False,
"The Love Letter",The Love Letter,1999,True,11472
"All About My Mother",All About My Mother,1999,True,13481
"Outside Providence",Outside Providence,1999,True,13268
"Run Lola Run",,1999,False,
"Encounter in the 3rd Dimension (IMAX)",Encounter in the Third Dimension,1999,True,368450991
"Buena Vista Social Club",,1999,False,
"200 Cigarettes",200 Cigarettes,1999,True,14561
"Lost and Found (1999)",Lost and Found,1999,True,11821
"Dick",Dick,1999,True,11164
"Topsy-Turvy",Topsy-Turvy,1999,True,13407
"The Straight Story",The Straight Story,1999,True,9479
"Foolish",Foolish,1999,True,15908
"Light it Up",Light It Up,1999,True,16949
"Siegfried & Roy: The Magic Box (IMAX)",Siegfried & Roy: The Magic Box,1999,True,770740344
"Sunshine (1999)",Sunshine,1999,True,13838
"Jakob the Liar",Jakob the Liar,1999,True,11619
"Wolves (IMAX)",Wolves,1999,True,770935553
"Mansfield Park",Mansfield Park,1999,True,10103
"A Walk on the Moon",A Walk on the Moon,1999,True,13121
"Mumford",Mumford,1999,True,14871
"Flawless (1999)",Flawless,1999,True,14108
"Simply Irresistible",Simply Irresistible,1999,True,12531
"Detroit Rock City",Detroit Rock City,1999,True,13740
"Gloria",Gloria,1999,True,16126
"Sweet and Lowdown",Sweet and Lowdown,1999,True,11455
"Idle Hands",Idle Hands,1999,True,13416
"The Dinner Game",,1999,False,
"Playing by Heart",,1999,False,
"The Winslow Boy",The Winslow Boy,1999,True,9626
"Lock  Stock and Two Smoking Barrels",Lock  Stock and Two Smoking Barrels,1999,True,15261
"Liberty Heights",Liberty Heights,1999,True,14217
"Fifty (IMAX)",Fifty,1999,True,770686589
